,i_p_i,e_i,end_node,edge_progress,x,y,oneway,length,u,v,plate,longitude,latitude,timestamp,velocity,dis_f_pre
0,643716.0,32993,0,0.4166666666666667,114.081651,22.54014,True,131.333,1694292879,1992906483,粤B0AA56,114.081497,22.5401,2014-07-03 16:54:39,0,7592.120653249291
1,643709.0,32992,1,0.0,114.081643,22.540632,True,10.088,1694292879,528758859,粤B0AA56,114.081497,22.5403,2014-07-03 16:55:09,8,22.239016046577877
2,636748.0,32565,0,0.625,114.081955,22.543037,True,85.166,3498891343,3498891346,粤B0AA56,114.082001,22.542999,2014-07-03 16:56:26,15,304.5463863467567
3,543055.0,27795,0,0.3076923076923077,114.084951,22.543156,True,268.752,1123335688,3580607193,粤B0AA56,114.084999,22.5432,2014-07-03 16:56:56,15,308.7012133159072
4,283542.0,14412,1,0.0,114.085546,22.543306,True,141.049,1699111513,277667363,粤B0AA56,114.085602,22.543301,2014-07-03 16:58:45,22,62.937443379150274
5,1234235.0,63844,0,0.23076923076923078,114.083806,22.54327,True,135.78,1699066617,1123352149,粤B0AA56,114.083801,22.5432,2014-07-03 16:59:15,0,185.30102104619945
6,771565.0,39855,0,0.18181818181818182,114.082585,22.543245,True,115.676,1123352149,1694292882,粤B0AA56,114.082603,22.5431,2014-07-03 17:00:18,8,123.53460029398546
7,643749.0,32999,0,0.3333333333333333,114.081254,22.543218,True,126.274,1694292882,1123347200,粤B0AA56,114.081299,22.5432,2014-07-03 17:00:48,9,134.38005449237005
8,696517.0,35598,0,0.6666666666666666,114.079655,22.543186,True,120.138,1123347200,277667358,粤B0AA56,114.079697,22.5432,2014-07-03 17:01:18,16,164.5233906195121
9,649778.0,33342,0,0.9285714285714286,114.077935,22.54315,True,147.09199999999998,277667358,5827544482,粤B0AA56,114.077904,22.5432,2014-07-03 17:01:48,0,184.13885104813926
10,967302.0,50149,0,0.3,114.077539,22.543134,True,100.767,5827544482,1722075263,粤B0AA56,114.077499,22.5432,2014-07-03 17:02:38,0,41.592992011911655
11,967302.0,50149,0,0.3,114.077539,22.543134,True,100.767,5827544482,1722075263,粤B0AA56,114.077499,22.5432,2014-07-03 17:03:08,0,0.0
12,967302.0,50149,0,0.3,114.077539,22.543134,True,100.767,5827544482,1722075263,粤B0AA56,114.077499,22.5432,2014-07-03 17:03:38,0,0.0
13,967302.0,50149,0,0.3,114.077539,22.543134,True,100.767,5827544482,1722075263,粤B0AA56,114.077499,22.5432,2014-07-03 17:04:56,0,0.0
14,958751.0,49701,0,0.47058823529411764,114.075232,22.5431,True,169.688,5827543922,4127126134,粤B0AA56,114.075203,22.5431,2014-07-03 17:05:26,26,236.05844261537763
15,1190121.0,61682,0,0.2,114.071776,22.543064,True,54.12,7252057927,7637463224,粤B0AA56,114.0718,22.542999,2014-07-03 17:05:56,25,349.6646158949511
16,1352097.0,69681,0,0.8333333333333334,114.066697,22.543189,True,61.35,6935534242,500017644,粤B0AA56,114.066704,22.542999,2014-07-03 17:06:26,39,523.3535701973252
17,363997.0,18679,0,0.4,114.060041,22.543337,True,52.645,1783922893,6935534202,粤B0AA56,114.060303,22.542801,2014-07-03 17:06:59,42,657.7446834636914
18,1378815.0,70914,0,0.8,114.051461,22.542708,True,52.91,5271707997,5271707998,粤B0AA56,114.051498,22.5427,2014-07-03 17:07:29,35,904.3351388306744
19,967302.0,50149,0,0.3,114.077539,22.543134,True,100.767,5827544482,1722075263,粤B0AA56,114.077499,22.5432,2014-07-03 17:08:42,0,2670.8536529203657
20,705901.0,36026,0,0.9,114.035835,22.541703,True,107.771,3687640436,499377028,粤B0AA56,114.035797,22.5417,2014-07-03 17:12:05,10,4286.012993975706
21,181909.0,8945,2,1.0,114.029654,22.543302,False,40.489999999999995,5771508507,2529328516,粤B0AA56,114.029701,22.543301,2014-07-03 17:14:09,5,650.8738926279176
22,357065.0,18250,0,0.375,114.029137,22.543424,False,87.664,2529328483,2529328516,粤B0AA56,114.029099,22.5434,2014-07-03 17:15:09,9,62.79698509853322
23,356996.0,18248,0,0.5882352941176471,114.027828,22.543735,False,179.995,2529328483,2529328494,粤B0AA56,114.027802,22.5438,2014-07-03 17:15:57,0,140.42971651865653
24,809317.0,41702,0,0.9333333333333333,114.025257,22.545594,True,152.95100000000002,2365000434,1116501212,粤B0AA56,114.025299,22.545601,2014-07-03 17:20:48,33,325.8539867218433
25,326696.0,16759,0,0.9090909090909091,114.019288,22.544555,True,675.048,1116501212,1116501256,粤B0AA56,114.019302,22.5446,2014-07-03 17:21:18,32,625.8531842336184
26,957651.0,49608,0,0.9253731343283582,114.013968,22.549899,True,725.441,1116553910,4127126152,粤B0AA56,114.013901,22.5499,2014-07-03 17:23:11,0,809.2971033352497
27,57144.0,2908,0,0.16666666666666666,114.008928,22.547575,False,253.944,2532185324,6824083290,粤B0AA56,114.008598,22.5478,2014-07-03 17:25:39,7,592.5403875856392
28,68337.0,3434,0,0.625,114.008678,22.548372,True,171.759,5269756018,5269756010,粤B0AA56,114.0084,22.547899,2014-07-03 17:26:09,3,23.12230421681879
